Business Name,Phone,Google Maps URL
"Le Cafe | Best European Cafe in Chembur, Mumbai",022 6709 9977,"https://www.google.com/maps/place/Le+Cafe+%7C+Best+European+Cafe+in+Chembur,+Mumbai/data=!4m7!3m6!1s0x3be7c77779897883:0x9abb47495273443!8m2!3d19.0615942!4d72.899741!16s%2Fg%2F11h40ygmdy!19sChIJg3iJeXfH5zsRQzQnlXS0qwk?authuser=0&hl=en&rclk=1"
Cafe Free India,090227 80909,https://www.google.com/maps/place/Cafe+Free+India/data=!4m7!3m6!1s0x3be7ceec7dbd4415:0x41bb809353b0e8e0!8m2!3d19.0056126!4d72.8310346!16s%2Fg%2F124t2f2wb!19sChIJFUS9fezO5zsR4OiwU5OAu0E?authuser=0&hl=en&rclk=1
The Bandstand Pantry,099201 00084,https://www.google.com/maps/place/The+Bandstand+Pantry/data=!4m7!3m6!1s0x3be7c9f4debe96c3:0x74823fe89214dab2!8m2!3d19.047503!4d72.8201545!16s%2Fg%2F11rjvz5lb6!19sChIJw5a-3vTJ5zsRstoUkug_gnQ?authuser=0&hl=en&rclk=1
Prithvi Cafe,070459 40218,https://www.google.com/maps/place/Prithvi+Cafe/data=!4m7!3m6!1s0x3be7c9ea57688fa3:0xefc0e4027133d0bc!8m2!3d19.1061292!4d72.8257094!16s%2Fg%2F11r902nyx!19sChIJo49oV-rJ5zsRvNAzcQLkwO8?authuser=0&hl=en&rclk=1
Sky Cafe,"
WRQM+78P, Murzban Rd, Opposite Cst, Azad Maidan, Fort, Mumbai, Maharashtra 400001",https://www.google.com/maps/place/Sky+Cafe/data=!4m7!3m6!1s0x3be7d1deb13b35df:0xc940611cccf37ed1!8m2!3d18.9382054!4d72.8333397!16s%2Fg%2F1ptwg6brz!19sChIJ3zU7sd7R5zsR0X7zzBxhQMk?authuser=0&hl=en&rclk=1
Pali Village Café,093243 10763,https://www.google.com/maps/place/Pali+Village+Caf%C3%A9/data=!4m7!3m6!1s0x3be7c9149fb7f017:0xacaac82ab61a1561!8m2!3d19.062202!4d72.8293888!16s%2Fg%2F1tlvm_kd!19sChIJF_C3nxTJ5zsRYRUatirIqqw?authuser=0&hl=en&rclk=1
Bake House Cafe,"
WRHJ+6X Mumbai, Maharashtra",https://www.google.com/maps/place/Bake+House+Cafe/data=!4m7!3m6!1s0x3be7d1c39a8b9853:0x94da3dec82e8bace!8m2!3d18.928067!4d72.832416!16s%2Fg%2F11bw4yhjhs!19sChIJU5iLmsPR5zsRzrroguw92pQ?authuser=0&hl=en&rclk=1
Cafe Reed by QUORUM,"
2R4M+M3 Mumbai, Maharashtra",https://www.google.com/maps/place/Cafe+Reed+by+QUORUM/data=!4m7!3m6!1s0x3be7cf20bf918639:0xa53836d56a0900e!8m2!3d19.0066665!4d72.8327015!16s%2Fg%2F11p59x2qwc!19sChIJOYaRvyDP5zsRDpCgVm2DUwo?authuser=0&hl=en&rclk=1
Cafe Churchill,098200 51364,https://www.google.com/maps/place/Cafe+Churchill/data=!4m7!3m6!1s0x3be7d1c077a61893:0xd40c5246c7882d2a!8m2!3d18.9199081!4d72.8302691!16s%2Fg%2F1tt0plp4!19sChIJkximd8DR5zsRKi2Ix0ZSDNQ?authuser=0&hl=en&rclk=1
"Kyani & Co. | Legendary Irani Restaurant, Bakers",089286 16793,"https://www.google.com/maps/place/Kyani+%26+Co.+%7C+Legendary+Irani+Restaurant,+Bakers/data=!4m7!3m6!1s0x3be7ce6cde410629:0x1f92f4f701c5053d!8m2!3d18.9438842!4d72.8290218!16s%2Fg%2F1th08xfw!19sChIJKQZB3mzO5zsRPQXFAff0kh8?authuser=0&hl=en&rclk=1"
